iter	Passed	Remaining
0	8	8348
1	14	7075
2	21	7094
3	29	7304
4	34	6962
5	42	7097
6	48	6946
7	55	6843
8	62	6854
9	67	6699
10	78	7054
11	84	6976
12	94	7160
13	99	7019
14	109	7198
15	115	7087
16	123	7125
17	129	7044
18	134	6949
19	142	6977
20	148	6917
21	156	6964
22	162	6914
23	169	6883
24	175	6841
25	181	6810
26	189	6842
27	195	6793
28	201	6753
29	208	6754
30	215	6730
31	223	6753
32	228	6705
33	235	6687
34	241	6650
35	246	6606
36	260	6768
37	268	6799
38	274	6756
39	280	6729
40	288	6742
41	293	6701
42	301	6707
43	307	6674
44	312	6631
45	320	6640
46	326	6611
47	336	6668
48	342	6655
49	351	6679
50	357	6655
51	371	6774
52	385	6880
53	391	6854
54	398	6855
55	405	6836
56	410	6785
57	418	6791
58	423	6756
59	428	6711
60	432	6663
61	437	6614
62	441	6566
63	447	6544
64	451	6499
65	456	6462
66	461	6427
67	466	6387
68	470	6349
69	475	6312
70	479	6276
71	484	6240
72	488	6205
73	494	6190
74	501	6183
75	505	6150
76	511	6136
77	517	6114
78	522	6086
79	527	6069
80	532	6040
81	537	6012
82	541	5986
83	546	5961
84	551	5935
85	555	5906
86	561	5895
87	566	5869
88	570	5840
89	576	5827
90	580	5802
91	585	5775
92	590	5757
93	596	5747
94	601	5731
95	607	5721
96	614	5722
97	624	5745
98	629	5729
99	633	5705
100	638	5679
101	643	5666
102	648	5644
103	653	5633
104	659	5620
105	663	5598
106	668	5578
107	673	5559
108	677	5539
109	682	5518
110	686	5499
111	692	5487
112	696	5469
113	701	5450
114	706	5435
115	710	5417
116	715	5401
117	720	5382
118	725	5371
119	730	5359
120	735	5341
121	740	5329
122	745	5315
123	749	5298
124	754	5282
125	759	5270
126	764	5253
127	768	5235
128	773	5225
129	778	5210
130	782	5193
131	787	5177
132	792	5167
133	797	5151
134	801	5135
135	806	5125
136	811	5110
137	815	5094
138	819	5079
139	825	5070
140	829	5054
141	834	5039
142	839	5031
143	843	5016
144	848	5002
145	853	4991
146	858	4978
147	862	4964
148	866	4950
149	873	4948
150	877	4935
151	882	4922
152	887	4914
153	892	4901
154	896	4888
155	901	4876
156	907	4870
157	911	4856
158	916	4846
159	921	4839
160	926	4827
161	931	4816
162	936	4808
163	941	4798
164	945	4786
165	950	4774
166	955	4766
167	960	4755
168	965	4745
169	971	4742
170	976	4735
171	982	4729
172	988	4726
173	994	4721
174	999	4713
175	1006	4711
176	1049	4878
177	1055	4875
178	1071	4915
179	1076	4902
180	1080	4890
181	1085	4880
182	1090	4869
183	1094	4856
184	1099	4843
185	1105	4835
186	1109	4823
187	1113	4810
188	1119	4803
189	1124	4796
190	1130	4787
191	1136	4783
192	1142	4776
193	1148	4770
194	1155	4770
195	1161	4764
196	1167	4760
197	1173	4751
198	1178	4745
199	1185	4742
200	1190	4733
201	1197	4729
202	1204	4728
203	1210	4723
204	1217	4722
205	1223	4716
206	1229	4708
207	1235	4705
208	1241	4697
209	1247	4691
210	1253	4687
211	1259	4682
212	1266	4679
213	1272	4672
214	1276	4662
215	1281	4652
216	1286	4641
217	1291	4631
218	1295	4620
219	1300	4611
220	1305	4600
221	1309	4589
222	1314	4581
223	1319	4570
224	1323	4559
225	1328	4548
226	1333	4540
227	1338	4531
228	1343	4521
